G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
71,68,28.6,4.2,8.7,0.48,2.3,2.8,0.811,3.0,4.1,0.8,0.2,1.5,2.1,12.9,Landry Shamet,2.2,5.1,0.437,1.9,3.6,0.542,0.609,0.5,2.5
133,132,35.5,4.9,11.3,0.438,2.5,3.1,0.821,4.5,2.2,1.3,0.5,1.2,2.5,15.0,Langston Galloway,2.6,6.1,0.426,2.4,5.2,0.452,0.552,1.0,3.5
125,96,27.1,4.7,9.8,0.474,2.4,3.4,0.684,4.6,2.3,2.0,0.6,2.5,2.2,12.5,Laron Profit,0.8,2.6,0.322,3.8,7.2,0.529,0.517,1.4,3.1
32,32,32.4,7.0,16.9,0.415,5.6,8.1,0.692,5.1,2.4,2.2,0.4,3.8,2.4,20.9,Larry Hughes,1.3,4.5,0.29,5.7,12.3,0.461,0.454,,
75,40.0,31.6,8.2,12.7,0.643,4.8,6.1,0.789,11.2,2.5,1.9,1.2,2.5,2.8,21.6,Larry Johnson,0.4,1.1,0.349,7.8,11.5,0.672,0.659,3.8,7.7
60,,34.7,8.5,16.4,0.517,3.4,4.9,0.699,6.9,2.5,2.8,0.2,2.3,2.9,20.8,Larry Robinson,0.5,1.5,0.307,8.0,14.9,0.538,0.531,,
101,82,23.5,4.1,7.9,0.52,2.1,3.6,0.577,7.7,0.5,0.6,2.7,1.5,3.1,10.3,Larry Sanders,0.0,0.2,0.25,4.1,7.7,0.526,0.523,2.5,5.2
68,51,31.3,5.0,10.1,0.499,2.3,3.2,0.74,5.1,2.0,1.1,1.3,2.1,1.7,13.5,Latrell Sprewell,1.1,2.7,0.399,4.0,7.4,0.536,0.552,2.1,3.1
37,37,30.8,5.0,10.2,0.492,3.7,4.4,0.835,7.2,0.9,0.4,0.5,1.1,2.0,15.6,Lauri Markkanen,1.9,4.4,0.423,3.1,5.8,0.545,0.584,2.4,4.8
129,104,29.3,3.8,8.9,0.43,2.7,3.4,0.789,5.6,1.6,1.0,0.4,1.8,2.3,11.1,Lavor Postell,0.7,2.2,0.326,3.1,6.7,0.464,0.47,2.8,4.1
135,130,32.2,4.4,8.2,0.534,1.6,2.4,0.671,8.5,2.1,0.5,1.6,1.4,2.5,10.5,Lavoy Allen,0.1,0.5,0.288,4.2,7.7,0.549,0.542,3.0,5.5
86,64,29.5,6.0,11.2,.538,2.5,4.0,.613,6.6,1.0,0.6,1.6,1.8,1.8,14.5,Lawrence Funderburke,0.0,0.1,.300,6.0,11.1,.540,.540,,
118.0,117.0,31.4,5.5,12.1,0.458,4.9,7.4,0.659,9.9,1.5,1.6,0.9,2.4,2.4,16.5,Lawrence Roberts,0.5,1.7,0.302,5.0,10.4,0.484,0.479,3.5,6.5
138,118,26.4,4.8,10.7,0.452,2.6,3.3,0.789,6.6,0.9,1.1,0.3,1.7,2.7,13.5,Lazar Hayward,1.2,3.4,0.357,3.6,7.3,0.497,0.509,2.2,4.4
63,62,32.6,9.4,17.7,0.532,4.9,6.7,0.728,9.1,2.2,1.5,1.0,3.1,3.5,23.9,Lee Nailon,0.1,0.3,0.294,9.4,17.5,0.536,0.534,,
54.0,53.0,32.5,5.9,12.0,0.492,5.9,8.8,0.672,9.8,1.1,0.8,0.6,2.2,2.4,17.8,Leon Powe,0.1,0.2,0.3,5.9,11.9,0.495,0.495,3.4,6.4
65,64,36.5,9.3,20.4,0.456,4.4,5.2,0.858,7.9,4.4,2.6,0.6,3.6,2.7,26.6,Lester Hudson,3.5,9.5,0.372,5.8,10.8,0.53,0.543,2.2,5.7
49,28,28.7,4.7,11.3,0.413,4.3,6.1,0.707,7.9,1.3,0.6,0.3,2.4,2.9,14.4,Linas Kleiza,0.8,2.8,0.287,3.9,8.6,0.453,0.448,2.5,5.4
119,34,31.7,7.3,17.8,.409,3.0,4.3,.709,3.2,3.7,2.2,0.3,3.1,2.0,20.1,Lindsey Hunter,2.5,7.1,.353,4.8,10.7,.446,.479,,
107,62.0,19.4,2.6,5.5,0.47,1.0,1.5,0.656,4.9,1.1,0.7,0.9,1.6,2.1,6.7,Linton Johnson,0.4,1.4,0.315,2.2,4.1,0.523,0.51,2.3,3.5
123,99,31.7,4.2,9.8,0.425,2.4,3.4,0.716,2.9,3.3,1.3,0.1,2.7,2.2,12.7,Lionel Chalmers,1.9,5.1,0.372,2.3,4.7,0.483,0.522,0.5,2.4
138,115,24.4,5.2,9.3,0.553,3.1,5.2,0.6,7.2,0.7,0.9,1.6,1.6,3.0,13.5,Lonny Baxter,0.0,0.0,0.6,5.1,9.3,0.553,0.554,2.5,4.7
36,36,35.1,5.3,9.5,0.551,1.8,2.7,0.673,6.0,7.6,1.8,0.8,2.5,1.8,14.6,Lonzo Ball,2.2,5.4,0.412,3.0,4.1,0.732,0.668,0.9,5.1
107,78,26.0,3.9,8.0,.493,3.2,4.3,.745,6.5,1.3,0.5,2.6,1.8,2.0,11.1,Loren Woods,0.0,0.1,.222,3.9,7.9,.496,.494,2.0,5.0
64,64,34.8,6.3,11.5,0.551,3.4,5.3,0.635,10.3,1.3,1.0,2.0,2.0,2.6,16.0,Lorenzen Wright,0.0,0.0,0.0,6.3,11.5,0.553,0.551,,
101,95,32.6,4.1,9.5,0.429,2.8,3.8,0.741,4.2,5.8,1.7,0.5,3.0,1.9,11.6,Lorenzo Brown,0.6,2.1,0.305,3.4,7.4,0.464,0.463,0.7,3.5
5,0,7.2,1.2,3.4,0.353,1.8,2.8,0.643,0.6,1.0,0.2,0.0,1.0,0.8,4.2,Lou Williams,0.0,0.8,0.0,1.2,2.6,0.462,0.353,,
134,73,22.0,4.6,7.5,0.617,1.6,2.1,0.752,7.4,0.7,0.5,0.6,1.3,2.7,10.8,Loy Vaught,0.0,0.0,0.333,4.6,7.4,0.619,0.618,,
132,94,27.6,5.3,9.0,0.586,2.9,3.9,0.735,7.0,2.4,0.7,2.5,2.6,2.2,13.4,Luc Longley,0.0,0.0,0.0,5.3,9.0,0.587,0.586,1.6,5.4
122,31.0,34.3,6.4,13.9,0.458,4.5,6.2,0.727,4.8,2.4,1.6,0.2,2.1,2.0,19.0,Lucious Harris,1.7,4.8,0.362,4.6,9.1,0.508,0.52,,
34,33,31.5,5.1,12.6,0.405,4.3,6.1,0.7,4.3,2.3,1.5,0.2,2.9,3.0,16.1,Luguentz Dort,1.6,5.2,0.307,3.5,7.5,0.472,0.467,1.3,3.0
68,68,34.9,6.5,13.6,0.48,5.2,5.8,0.893,8.1,1.8,0.9,0.8,2.1,2.2,19.4,Luke Babbitt,1.1,2.6,0.421,5.4,11.0,0.494,0.52,2.0,6.2
129,108,29.2,7.3,15.3,0.476,4.4,5.6,0.782,9.5,1.6,0.8,0.7,1.8,2.4,19.2,Luke Harangody,0.3,1.0,0.326,6.9,14.3,0.486,0.486,3.0,6.5
126,102,29.1,5.1,11.1,0.461,4.0,4.7,0.849,5.9,3.4,1.3,0.3,2.3,1.8,15.6,Luke Jackson,1.4,3.4,0.402,3.7,7.7,0.488,0.524,1.7,4.2
73,47,31.2,5.2,11.2,0.461,3.4,3.9,0.867,4.3,2.0,0.9,0.3,1.2,2.1,15.7,Luke Kennard,2.0,5.1,0.383,3.2,6.1,0.526,0.548,1.1,3.3
128,76,24.1,3.0,7.2,0.417,1.7,2.2,0.779,4.8,1.1,0.4,1.6,1.1,2.0,8.9,Luke Kornet,1.2,3.7,0.32,1.8,3.5,0.519,0.499,1.2,3.6
96,96,33.6,4.5,10.5,0.429,3.5,4.1,0.859,3.0,5.2,1.6,0.1,3.2,2.1,14.6,Luke Ridnour,2.1,5.4,0.389,2.4,5.0,0.472,0.53,0.4,2.5
118,90,21.6,3.0,5.6,0.542,1.3,2.1,0.632,5.4,0.8,0.6,1.3,1.7,2.4,7.4,Luke Schenscher,0.0,0.0,0.4,3.0,5.6,0.543,0.544,2.0,3.5
129,84,27.2,3.3,7.6,0.426,2.1,3.1,0.685,5.1,4.5,1.2,0.4,2.6,1.8,9.1,Luke Walton,0.5,1.8,0.284,2.8,5.9,0.47,0.459,1.5,3.6
37,32,31.1,5.7,11.9,0.476,2.6,3.7,0.71,6.9,1.8,1.3,1.1,2.2,2.2,15.1,Luol Deng,1.1,3.0,0.36,4.6,8.9,0.515,0.522,2.2,4.7
128,84,25.4,3.5,7.5,0.473,1.4,1.9,0.752,3.1,2.5,1.2,0.2,1.5,1.5,10.1,Luther Head,1.6,4.3,0.382,1.9,3.2,0.594,0.582,0.7,2.5
137,77,30.6,4.8,12.0,0.403,3.4,4.0,0.852,2.6,3.2,1.4,0.1,1.9,1.8,15.3,Lynn Greer,2.2,5.6,0.398,2.6,6.4,0.407,0.495,0.8,2.3
95,56,25.9,4.0,9.7,0.412,3.6,4.2,0.848,2.7,3.4,0.9,0.0,2.3,2.3,12.5,Maalik Wayns,1.0,3.4,0.291,3.0,6.3,0.478,0.464,0.5,2.2
126,66,23.5,3.7,6.0,0.627,3.2,4.9,0.648,6.6,0.6,0.7,1.1,2.2,3.1,10.6,Maceo Baston,0.0,0.0,0.0,3.7,5.9,0.629,0.627,2.4,3.1
64,32.0,37.2,10.4,21.9,0.474,5.5,6.4,0.863,3.0,3.6,1.7,0.1,3.6,2.1,29.0,Mahmoud Abdul-rauf,2.7,7.2,0.372,7.7,14.7,0.524,0.535,,
37,37,34.4,4.1,11.1,0.369,3.1,4.2,0.72,4.3,2.1,1.1,0.3,2.1,2.5,13.4,Malachi Richardson,2.1,6.1,0.353,2.0,5.1,0.388,0.465,0.5,3.8
136.0,109.0,30.6,4.4,10.3,0.43,3.1,3.5,0.876,4.1,2.5,0.9,0.2,1.5,1.8,13.3,Malcolm Brogdon,1.4,3.7,0.365,3.1,6.6,0.466,0.496,0.6,3.5
136,125,34.5,4.7,11.7,0.401,5.3,6.3,0.845,3.5,4.0,1.3,0.2,2.8,2.7,16.6,Malcolm Delaney,1.9,5.3,0.363,2.7,6.3,0.432,0.484,0.8,2.7
112,93,26.0,3.0,6.7,0.445,2.2,2.8,0.765,4.8,1.5,0.8,1.3,1.6,2.5,9.0,Malcolm Miller,0.9,2.5,0.37,2.0,4.1,0.491,0.515,0.7,4.0
127,61.0,24.1,3.4,6.7,0.514,2.1,3.0,0.696,5.6,0.8,0.6,1.5,1.6,2.4,8.9,Malik Allen,0.0,0.0,,3.4,6.7,0.514,0.514,2.6,4.8
34,33,29.8,5.4,11.6,0.471,3.1,3.8,0.813,5.3,1.5,0.9,0.2,1.7,2.2,15.6,Malik Beasley,1.6,4.2,0.387,3.8,7.4,0.518,0.541,1.3,4.0
117,115,31.2,5.2,10.4,0.504,2.4,3.7,0.643,5.1,2.1,0.6,0.6,2.0,2.5,14.1,Malik Hairston,1.2,3.1,0.395,4.0,7.2,0.551,0.564,2.0,3.1
38,37,32.1,6.6,14.7,0.45,3.9,4.7,0.822,2.5,2.3,0.9,0.5,2.0,1.9,19.8,Malik Monk,2.7,6.9,0.397,3.9,7.8,0.497,0.543,0.3,2.2
120,,30.4,6.1,11.1,0.549,4.6,7.2,0.641,12.6,1.0,0.8,1.0,2.8,3.3,16.9,Malik Rose,0.1,0.2,0.292,6.1,10.9,0.554,0.552,,
98,97,34.0,5.3,13.1,0.406,4.9,6.0,0.827,5.7,3.7,1.5,0.4,3.2,1.9,17.0,Manny Harris,1.4,4.6,0.318,3.9,8.5,0.453,0.461,1.6,4.1
113,56,25.3,5.2,11.2,0.464,2.6,3.6,0.739,4.3,1.5,1.1,0.7,1.8,2.0,14.4,Marshon Brooks,1.4,4.2,0.333,3.8,7.0,0.543,0.526,1.6,2.7
85,63,30.5,4.5,9.4,.475,3.4,4.9,.709,7.4,0.8,0.6,0.5,2.0,1.9,12.5,Marc Jackson,0.0,0.1,.400,4.4,9.3,.476,.478,,
63,63,34.3,6.0,12.2,0.495,5.0,6.8,0.731,3.3,4.3,2.5,0.2,3.6,2.9,18.1,Marcus Banks,1.0,3.1,0.33,5.0,9.1,0.551,0.537,0.8,2.6
92,63,25.3,5.9,11.7,0.501,3.3,5.1,0.661,7.0,1.4,0.8,3.7,2.0,2.8,15.1,Marcus Camby,0.0,0.1,0.077,5.8,11.6,0.506,0.501,2.4,4.6
97,91,31.1,7.1,13.9,0.511,4.4,6.3,0.702,7.4,1.0,0.9,0.9,2.3,2.6,18.9,Marcus Fizer,0.2,0.7,0.292,6.9,13.2,0.524,0.519,2.7,5.0
130,129,30.9,4.4,10.1,0.433,3.6,4.8,0.749,4.5,2.2,0.9,0.2,1.7,2.4,13.3,Marcus Georges-hunt,0.9,2.9,0.329,3.4,7.3,0.474,0.479,1.5,2.9
89,25,17.1,3.1,5.9,0.53,1.7,2.5,0.705,3.4,0.5,0.3,1.3,1.1,2.4,8.4,Marcus Haislip,0.4,1.1,0.373,2.7,4.7,0.568,0.566,1.2,2.2
64,63,33.1,4.9,11.9,0.413,5.5,7.3,0.751,5.9,4.5,2.9,0.6,3.0,2.9,16.6,Marcus Smart,1.4,4.6,0.295,3.5,7.3,0.488,0.47,1.5,4.4
66,65,32.7,7.1,15.6,0.455,3.7,4.8,0.771,5.5,1.8,1.5,0.3,2.0,2.0,20.4,Marcus Thornton,2.5,6.7,0.382,4.5,8.9,0.51,0.537,2.0,3.5
70,51,27.9,2.9,7.2,0.402,2.4,3.0,0.791,3.2,7.3,1.0,0.2,3.2,1.7,9.0,Marcus Williams,0.8,2.1,0.375,2.1,5.2,0.413,0.455,0.7,2.6
125,124,37.5,5.7,14.4,0.399,2.4,3.9,0.624,4.6,3.2,2.3,0.2,2.0,2.3,15.4,Mardy Collins,1.5,5.0,0.292,4.3,9.4,0.457,0.45,1.2,3.3
110,96,28.5,4.0,8.3,0.486,2.5,3.2,0.767,2.8,3.8,2.6,0.4,2.4,2.4,12.2,Mario Chalmers,1.6,3.9,0.419,2.4,4.4,0.545,0.584,0.3,2.5
103,21,13.9,1.1,2.4,0.47,0.8,1.2,0.678,2.3,0.8,1.2,0.2,0.9,2.0,3.2,Mario West,0.1,0.5,0.288,1.0,1.9,0.518,0.5,0.7,1.5
56,36,20.5,2.4,5.2,0.466,1.6,3.0,0.518,3.6,0.7,0.5,1.9,2.3,3.1,6.4,Mark Blount,0.0,0.0,0.5,2.4,5.2,0.466,0.467,,
118,109,31.1,6.2,11.8,0.521,3.8,5.4,0.705,7.7,0.7,0.6,0.9,2.2,3.2,16.2,Mark Bryant,0.0,0.0,0.667,7.0,13.1,0.521,0.522,3.1,6.0
131,81,30.4,3.5,7.0,0.51,2.7,3.5,0.751,2.6,5.6,1.3,0.2,2.3,1.7,10.1,Mark Jackson,1.6,3.9,0.419,4.9,9.1,0.523,0.537,,
108,77,25.1,4.0,6.8,0.587,3.0,5.0,0.596,7.9,0.6,0.4,0.6,1.3,2.5,10.9,Mark Madsen,0.0,0.0,0.0,4.0,6.7,0.589,0.587,3.5,5.2
125,70,25.6,3.2,6.1,.526,2.6,3.4,.774,6.8,1.3,0.9,0.9,1.8,2.6,9.4,Mark Pope,0.4,0.9,.414,2.8,5.1,.546,.557,3.6,4.5
95,91,29.6,3.2,6.4,0.509,1.0,2.3,0.414,6.1,0.2,0.9,1.9,1.1,2.8,7.5,Mark Strickland,0.0,0.0,0.0,3.2,6.3,0.512,0.509,,
134,103,30.5,4.1,9.4,0.439,3.0,4.1,0.733,4.3,2.3,1.0,0.8,1.8,2.1,12.4,Markel Brown,1.1,3.1,0.347,3.0,6.2,0.486,0.497,0.8,3.5
25,25,35.7,8.4,17.6,0.476,4.4,6.7,0.649,5.7,5.9,1.6,1.2,3.2,2.5,23.2,Markelle Fultz,2.1,5.0,0.413,6.3,12.5,0.502,0.535,1.3,4.4
109,43,19.3,3.1,5.7,0.553,1.9,2.9,0.653,6.1,1.2,0.6,0.9,1.6,2.7,8.5,Markieff Morris,0.3,0.9,0.404,2.8,4.8,0.579,0.583,2.0,4.1
34,34,24.9,5.3,9.9,0.53,2.6,3.8,0.682,5.4,0.8,0.9,1.6,2.0,4.1,13.7,Marquese Chriss,0.6,1.8,0.35,4.6,8.2,0.568,0.561,2.5,2.9
111,90,28.3,5.4,10.8,0.496,2.4,3.8,0.646,5.6,2.6,1.9,0.4,2.7,2.4,13.8,Marquis Daniels,0.6,2.0,0.296,4.8,8.8,0.542,0.524,2.0,3.6
40,40,32.6,3.6,8.8,0.412,2.1,3.0,0.714,2.5,4.8,0.9,0.3,2.7,2.3,10.0,Marquis Teague,0.7,2.0,0.325,3.0,6.8,0.438,0.449,0.4,2.1
69,36,15.4,4.0,6.2,0.633,1.6,2.3,0.688,5.4,0.5,0.3,0.9,1.1,1.7,9.5,Marreese Speights,0.0,0.0,,4.0,6.2,0.633,0.633,1.9,3.6
124,36,14.3,1.3,1.9,0.665,0.9,1.7,0.555,3.8,0.5,0.4,0.8,0.5,1.5,3.4,Marshall Plumlee,0.0,0.0,1.0,1.2,1.9,0.664,0.667,1.6,2.2
36,0,22.2,3.5,6.9,0.506,3.8,4.5,0.847,6.6,0.7,1.1,0.5,1.6,2.6,11.3,Marvin Williams,0.5,1.2,0.432,2.9,5.6,0.522,0.545,1.8,4.8
141,99,25.9,3.7,6.5,0.574,2.4,4.0,0.583,7.7,1.5,0.8,1.4,2.0,2.5,9.8,Mason Plumlee,0.0,0.1,0.2,3.7,6.4,0.578,0.575,2.4,5.4
123,115,30.6,4.4,10.8,0.406,2.6,3.5,0.738,2.1,6.6,1.6,0.1,3.8,2.2,12.5,Mateen Cleaves,1.2,3.7,0.313,3.2,7.1,0.454,0.459,0.2,1.6
135,134,29.4,3.3,7.6,0.429,1.3,1.6,0.782,3.1,2.0,2.5,1.4,1.9,2.8,9.2,Matisse Thybulle,1.4,4.0,0.358,1.9,3.7,0.507,0.522,0.9,2.2
121,66,22.6,3.3,7.1,0.469,1.7,2.9,0.566,4.8,2.0,1.0,0.4,2.0,2.2,8.8,Matt Barnes,0.5,1.6,0.314,2.8,5.5,0.514,0.505,1.7,3.7
131,81,25.0,4.4,8.8,0.503,1.9,2.5,0.74,5.9,1.2,0.7,0.5,1.3,2.0,12.0,Matt Bonner,1.3,3.2,0.395,3.2,5.6,0.564,0.574,2.0,3.9
94,77,28.4,4.9,9.2,.533,2.5,3.3,.768,6.5,2.2,0.7,0.9,2.1,2.9,12.8,Matt Bullard,0.7,2.1,.336,4.1,7.5,.571,.560,,
133,125,31.2,4.7,10.6,0.445,2.2,2.7,0.825,4.3,2.4,0.9,0.2,1.7,2.0,13.9,Matt Carroll,2.3,5.7,0.395,2.5,4.9,0.503,0.551,0.8,3.5
121,111,28.7,5.2,11.7,0.448,3.7,4.7,0.786,4.9,0.9,0.7,0.6,1.4,2.2,15.6,Matt Freije,1.5,4.3,0.355,3.7,7.4,0.501,0.512,1.6,3.3
120,87,25.6,4.5,8.3,.545,2.3,3.3,.687,6.1,1.0,0.5,1.1,2.3,3.0,11.4,Matt Geiger,0.0,0.1,.000,4.5,8.3,.550,.545,,
124,119,36.1,6.1,13.1,0.465,4.1,5.4,0.753,8.0,2.3,1.4,0.2,2.9,2.4,17.9,Matt Harpring,1.7,4.7,0.361,4.4,8.4,0.523,0.53,,
113,83,29.3,4.1,9.8,.419,1.5,1.8,.793,2.5,3.3,1.6,0.0,2.1,1.7,12.1,Matt Maloney,2.4,6.0,.405,1.7,3.9,.442,.542,0.5,2.3
124,28,15.6,0.9,2.6,0.336,0.9,1.3,0.679,1.9,1.1,0.8,0.1,0.8,1.1,2.8,Matt Thomas,0.1,0.5,0.193,0.8,2.2,0.367,0.353,0.7,1.2
136,132,36.4,4.3,10.5,0.415,3.4,4.0,0.86,3.4,5.6,1.1,0.1,2.5,1.9,14.2,Matthew Dellavedova,2.1,5.6,0.378,2.2,4.9,0.456,0.516,0.8,2.6
124,73,25.6,4.2,9.6,0.441,2.5,3.2,0.775,3.4,1.5,0.5,0.3,1.7,1.9,12.5,Maurice Ager,1.6,4.3,0.38,2.6,5.3,0.492,0.527,0.8,2.6
93,80,30.0,5.6,13.0,.432,3.1,4.2,.752,4.8,1.4,1.0,0.6,2.3,2.9,16.5,Maurice Evans,2.2,5.7,.382,3.4,7.2,.472,.517,2.1,3.1
32,32,36.1,6.0,13.3,0.452,2.9,4.3,0.676,8.6,1.5,1.6,1.4,2.5,2.3,15.5,Maurice Harkless,0.5,2.5,0.215,5.5,10.9,0.506,0.472,2.8,5.9
66,60,32.3,5.2,10.5,0.498,3.6,4.8,0.757,7.6,1.6,0.8,1.9,2.7,2.7,14.8,Maurice Ndour,0.7,1.8,0.388,4.6,8.8,0.52,0.53,1.9,5.7
98,94,28.5,5.4,10.8,0.497,2.1,3.2,0.642,6.1,1.2,0.6,0.9,2.1,2.9,12.9,Maurice Taylor,0.1,0.2,0.313,5.3,10.7,0.5,0.499,2.1,3.0
124,92.0,32.5,6.4,11.0,0.577,3.0,4.6,0.648,7.5,1.1,0.8,2.9,2.4,2.8,15.7,Melvin Ely,0.0,0.0,0.333,6.4,11.0,0.578,0.578,2.8,4.6
65,30,19.8,3.0,5.4,0.567,1.6,2.2,0.729,4.7,0.7,0.3,1.1,1.4,2.2,7.7,Meyers Leonard,0.0,0.2,0.083,3.0,5.2,0.585,0.569,1.3,3.4
33,33,31.5,9.3,17.5,0.532,6.5,8.5,0.774,12.4,1.2,1.3,1.6,2.9,2.6,26.2,Michael Beasley,1.1,2.9,0.379,8.2,14.6,0.562,0.563,4.0,8.4
100,68,20.9,4.4,6.5,.677,1.9,3.6,.541,5.4,1.3,0.6,1.0,1.7,1.9,10.9,Michael Bradley,0.1,0.3,.353,4.3,6.2,.695,.687,3.5,6.3
66,40,25.4,2.7,6.8,0.398,2.2,3.2,0.679,3.6,5.2,2.0,0.4,2.3,1.8,8.2,Michael Carter-williams,0.6,2.1,0.307,2.1,4.8,0.438,0.445,0.9,2.7
119,43.0,28.3,3.5,6.3,0.563,2.3,3.1,0.738,5.4,1.8,0.8,0.3,1.4,2.4,9.4,Michael Curry,0.0,0.1,0.083,3.5,6.2,0.57,0.563,,
130,80,24.1,5.1,11.2,0.458,2.3,3.2,0.728,3.7,1.5,0.8,0.2,1.9,1.9,13.8,Michael Dickerson,1.2,3.2,0.367,4.0,8.0,0.494,0.51,,
133,66.0,23.5,3.9,7.8,0.491,3.5,4.5,0.784,6.7,0.6,0.5,0.9,1.5,2.4,11.4,Michael Doleac,0.2,0.4,0.404,3.7,7.5,0.496,0.501,2.2,5.0
115,112,34.3,6.4,14.6,0.44,4.0,5.2,0.769,5.6,3.2,1.5,0.7,2.8,2.5,18.7,Michael Finley,1.9,5.5,0.338,4.6,9.1,0.501,0.503,,
101,,30.8,7.1,13.2,0.54,3.1,4.2,0.748,5.0,1.8,1.7,0.7,2.0,2.7,17.7,Michael Jordan,0.9,2.1,0.447,6.9,12.5,0.546,0.553,,
40,39,31.1,4.0,8.2,0.491,3.6,4.8,0.745,7.4,1.9,1.0,0.9,2.2,2.4,11.9,Michael Kidd-gilchrist,0.3,1.3,0.255,3.7,6.9,0.535,0.511,2.6,4.9
77,14.0,22.5,5.8,9.7,0.592,2.0,4.3,0.466,7.5,0.5,0.2,2.1,2.0,2.3,13.5,Michael Olowokandi,0.0,0.0,,5.8,9.7,0.592,0.592,,
96,96,34.6,7.3,16.3,0.448,3.7,5.7,0.649,6.2,2.5,1.6,0.1,2.7,1.9,19.6,Michael Redd,1.3,4.1,0.319,6.0,12.2,0.491,0.488,2.2,4.0
128,115,29.3,3.1,5.9,0.53,3.2,5.6,0.57,9.5,1.2,1.2,2.1,2.5,2.8,9.4,Michael Ruffin,0.0,0.1,0.0,3.1,5.9,0.535,0.53,,
122,85,31.8,7.3,14.3,.507,3.5,4.0,.878,7.6,2.6,0.6,0.2,2.9,2.6,19.0,Michael Smith,1.2,2.9,.430,7.2,13.6,.521,.540,,
117,94,19.4,1.7,3.4,0.51,0.8,1.7,0.487,4.7,0.3,0.4,1.8,0.8,2.7,4.3,Michael Stewart,0.0,0.0,,1.7,3.4,0.51,0.51,,
85,83,26.8,2.6,5.8,0.442,2.1,3.2,0.667,7.0,0.5,0.6,4.7,1.6,2.6,7.3,Mickell Gladness,0.0,0.0,0.0,2.6,5.8,0.445,0.442,1.6,5.4
116,73,27.3,3.9,7.5,0.525,1.9,2.3,0.845,4.3,1.6,1.4,0.9,1.1,2.2,11.3,Mikal Bridges,1.5,3.7,0.4,2.5,3.8,0.645,0.623,1.1,3.2
76,73,30.4,5.9,11.9,0.497,2.3,3.5,0.654,7.2,1.3,1.2,1.1,2.6,3.3,14.7,Mike Batiste,0.6,2.0,0.301,5.3,9.9,0.537,0.523,,
69,69,32.3,5.2,11.4,0.456,2.9,3.9,0.73,3.1,5.5,2.3,0.2,2.6,1.9,15.4,Mike Bibby,2.1,5.3,0.39,3.1,6.1,0.514,0.548,,
39,39,31.6,4.1,7.9,0.518,2.6,3.7,0.694,3.4,6.1,2.2,0.3,2.2,1.5,11.3,Mike Conley,0.5,1.8,0.304,3.6,6.2,0.579,0.552,0.7,2.7
111,,33.9,5.5,11.4,0.484,3.2,4.0,0.798,3.1,3.3,1.5,0.1,,2.5,14.3,Mike Dunleavy,,,,,,,,,
121,85,28.7,6.5,10.7,0.602,3.4,4.6,0.731,9.2,1.0,1.1,1.0,1.8,2.3,16.6,Mike Harris,0.3,0.8,0.385,6.2,10.0,0.62,0.617,3.1,6.1
111,84,28.1,4.8,10.9,0.444,2.2,3.0,0.726,3.0,3.1,1.8,0.1,2.4,2.8,12.7,Mike James,0.8,2.5,0.329,4.0,8.3,0.479,0.483,,
65,56,26.7,4.5,9.2,0.483,3.1,4.4,0.718,6.0,2.3,1.2,0.3,2.2,1.9,13.3,Mike Miller,1.2,3.5,0.345,3.3,5.8,0.565,0.547,2.2,4.4
133,118,28.7,5.4,10.8,0.501,4.3,5.2,0.819,8.2,1.6,0.4,2.0,1.6,2.3,15.3,Mike Muscala,0.2,0.5,0.313,5.3,10.3,0.51,0.508,2.3,6.0
55,33,22.9,1.9,5.0,0.389,1.9,2.8,0.677,3.5,2.0,1.3,0.1,1.6,2.9,6.2,Mike Scott,0.4,1.4,0.286,1.5,3.6,0.429,0.429,1.5,2.1
31,30,32.9,5.3,14.2,0.376,2.8,4.2,0.682,4.1,4.5,1.1,0.1,5.4,2.9,16.0,Mike Taylor,2.5,6.9,0.36,2.8,7.3,0.391,0.464,0.7,3.4
117,60.0,29.7,3.6,8.7,0.409,3.1,4.2,0.729,3.7,3.0,1.6,0.2,2.6,2.3,11.1,Mike Wilks,0.9,2.6,0.346,2.6,6.1,0.436,0.461,1.0,2.7
114,86,25.0,3.3,5.9,0.553,2.1,3.1,0.655,5.8,0.9,0.8,2.1,1.7,2.8,8.6,Mikki Moore,0.0,0.1,0.25,3.3,5.8,0.559,0.555,,
62,60,31.6,6.2,13.2,0.47,2.5,3.2,0.776,7.6,2.4,0.6,1.1,2.1,1.7,17.0,Miles Bridges,2.0,5.5,0.375,4.2,7.8,0.537,0.548,1.4,6.2
135,58,15.8,1.9,3.5,0.557,0.9,1.5,0.625,4.8,0.3,0.5,0.6,1.0,2.3,4.8,Miles Plumlee,0.0,0.0,1.0,1.9,3.5,0.557,0.559,1.8,3.0
88,88,33.1,4.1,8.8,0.466,3.0,4.1,0.715,4.2,4.8,1.7,0.1,3.0,2.2,12.1,Milt Palacio,0.9,2.6,0.361,3.2,6.2,0.51,0.519,,
47,12,20.6,3.5,5.9,0.588,0.8,1.6,0.513,6.6,0.8,1.2,0.7,1.3,2.5,7.8,Mitch Mcgary,0.0,0.0,0.0,3.5,5.9,0.592,0.588,2.6,4.0
