G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
138,129,30.9,1.8,4.3,0.425,1.8,2.9,0.617,5.5,5.2,1.5,0.4,1.9,2.3,5.8,Julyan Stone,0.4,1.4,0.265,1.5,2.9,0.504,0.469,0.7,4.8
65,63,31.8,5.9,13.2,0.449,3.3,4.4,0.751,9.0,1.0,1.0,0.6,2.2,2.3,16.6,Jumaine Jones,1.4,4.0,0.351,4.5,9.2,0.492,0.502,,
98,44,24.1,2.9,6.8,0.43,2.0,2.7,0.752,3.5,1.8,0.6,0.9,1.3,1.4,8.9,Justin Anderson,1.0,2.8,0.357,1.9,4.1,0.481,0.503,0.8,2.7
113,81,25.1,2.6,5.4,0.489,0.9,1.2,0.739,2.6,2.7,1.5,0.3,1.3,1.8,6.9,Justin Hamilton,0.7,2.1,0.331,2.0,3.3,0.589,0.553,0.8,1.8
123,56,19.6,2.0,4.6,0.443,0.7,1.0,0.736,3.6,1.5,0.8,0.5,1.0,1.6,5.3,Justin Holiday,0.5,1.4,0.343,1.6,3.3,0.485,0.494,1.3,2.3
6.0,3,1.3,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,Justin Jackson,0.0,0.0,,0.0,0.3,0.0,0.0,0.3,0.2
93,19,13.9,1.9,4.7,0.402,0.5,0.8,0.676,2.9,0.6,0.8,0.5,1.3,2.3,4.8,Justin James,0.5,1.5,0.336,1.4,3.2,0.433,0.455,1.2,1.8
122,114,28.7,5.6,11.7,0.476,3.1,4.4,0.707,6.3,1.1,1.0,0.7,2.4,3.2,14.6,Justin Reed,0.4,1.3,0.285,5.2,10.4,0.5,0.492,2.4,3.9
58,56,26.9,3.8,7.0,0.538,2.5,4.4,0.574,8.7,0.6,0.4,4.2,2.2,3.2,10.1,Justin Williams,0.0,0.0,0.0,3.8,7.0,0.54,0.538,3.4,5.4
39,39,29.1,4.4,9.1,0.486,2.6,4.0,0.641,6.5,2.1,1.3,0.9,1.8,2.8,12.6,Justise Winslow,1.2,2.8,0.418,3.3,6.3,0.516,0.551,1.3,5.2
100,97,31.4,6.2,12.1,0.51,2.9,4.2,0.688,7.5,2.0,0.8,0.6,2.7,3.1,15.3,Juwan Howard,0.0,0.1,0.091,6.2,12.0,0.514,0.511,2.6,4.8
128,85,23.1,4.0,7.2,0.562,2.2,3.3,0.671,5.9,1.2,0.8,1.1,1.3,2.4,10.7,Juwan Morgan,0.4,1.5,0.297,3.6,5.7,0.632,0.593,2.0,3.9
94,61,24.3,3.9,8.6,0.45,2.4,3.2,0.767,4.8,0.9,0.9,1.9,1.5,1.8,11.0,Kj Mcdaniels,0.9,2.8,0.313,3.0,5.8,0.516,0.501,1.8,3.0
84,66,30.2,6.5,14.7,0.445,3.1,4.0,0.777,5.4,2.1,1.2,0.6,2.8,2.3,18.9,Kareem Rush,2.7,6.4,0.422,3.9,8.3,0.464,0.537,1.6,3.9
92,91,30.8,7.1,12.5,0.566,4.5,7.1,0.631,9.3,1.4,1.6,0.6,2.9,3.6,18.7,Karl Malone,,,,,,,,,
39,39,21.1,3.7,6.6,0.566,2.8,3.4,0.813,6.7,1.1,0.5,2.3,1.4,2.9,10.3,Karl-anthony Towns,0.1,0.2,0.25,3.7,6.4,0.577,0.57,2.4,4.3
70,69,31.9,5.4,12.0,0.449,2.8,3.7,0.744,10.2,2.2,1.4,0.6,2.2,2.5,14.1,Kawhi Leonard,0.6,2.3,0.25,4.8,9.7,0.497,0.473,3.3,6.9
109,70,24.8,4.3,9.1,0.472,1.9,2.5,0.776,5.7,1.1,0.6,1.2,1.2,1.4,11.7,Keita Bates-diop,1.1,3.2,0.352,3.2,5.9,0.537,0.534,1.1,4.6
135,122,29.0,5.0,11.4,0.437,2.4,3.5,0.688,4.1,2.3,1.1,0.1,2.3,2.0,14.2,Keith Bogans,1.9,5.5,0.342,3.1,5.9,0.527,0.52,1.5,2.6
111,88.0,32.1,5.2,12.1,0.426,5.0,6.3,0.791,3.2,2.8,1.6,0.1,2.8,2.6,17.1,Keith Mcleod,1.8,4.5,0.399,3.4,7.6,0.442,0.5,0.7,2.5
136,71,26.9,5.2,12.0,0.437,2.9,3.7,0.786,5.2,1.2,0.6,0.4,1.7,2.1,15.1,Kelan Martin,1.6,4.7,0.348,3.6,7.3,0.495,0.506,1.0,4.2
97,65,22.4,3.6,7.5,0.485,1.7,2.3,0.752,3.7,1.0,0.7,0.3,1.3,1.6,10.0,Kelenna Azubuike,1.0,2.6,0.373,2.7,4.9,0.545,0.55,1.5,2.3
101.0,31.0,17.2,3.3,5.6,0.594,2.0,2.8,0.709,4.6,1.1,0.5,0.5,1.4,2.0,8.9,Kelly Olynyk,0.2,0.7,0.333,3.1,4.9,0.634,0.616,1.5,3.1
79,59,24.4,3.4,7.9,.434,2.2,3.8,.584,7.4,0.6,0.8,3.5,1.6,2.9,9.1,Kelvin Cato,0.0,0.0,.000,3.4,7.9,.435,.434,3.0,5.4
111,77,32.9,5.2,12.2,0.428,4.5,5.8,0.783,4.4,4.1,1.7,0.3,2.3,1.5,16.1,Kemba Walker,1.1,3.5,0.326,4.1,8.7,0.469,0.475,1.0,3.4
117,70,25.4,4.5,8.9,0.501,2.4,3.2,0.755,2.8,3.0,1.9,0.3,1.8,1.7,12.0,Kendall Gill,0.7,1.9,0.374,3.8,7.0,0.535,0.541,,
73,55,28.8,2.5,5.6,0.446,1.5,2.2,0.693,2.3,8.0,1.1,0.1,2.6,1.5,7.2,Kendall Marshall,0.7,1.8,0.366,1.8,3.8,0.484,0.505,0.2,2.2
126,87,30.1,5.0,11.7,.428,1.9,2.3,.821,3.6,2.1,1.2,0.2,1.7,1.8,14.2,Kendrick Nunn,2.3,6.0,.386,2.7,5.6,.474,.528,0.5,3.2
136,122,29.1,5.8,10.1,0.569,3.2,5.6,0.583,12.3,0.9,1.7,1.8,2.2,3.1,14.8,Kenneth Faried,0.0,0.1,0.25,5.7,10.0,0.572,0.57,4.4,7.9
65,64,38.3,8.6,18.2,0.473,4.0,5.1,0.787,5.6,7.0,2.6,0.1,3.9,2.1,23.0,Kenny Anderson,1.7,4.6,0.374,6.9,13.6,0.507,0.521,,
