PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
Terrence Ross,57.333333333333336,24.46666666666667,11.299999999999999,2.8000000000000003,1.8666666666666665,0.6666666666666666,0.3,0.413,0.3323333333333333,0.842,1.1666666666666667
Terrence Shannon Jr.,32.0,10.6,4.3,1.5,1.0,0.2,0.2,0.482,0.355,0.81,0.5
Terry Rozier,66.0,32.56,18.240000000000002,4.1,4.4,1.08,0.3,0.4286,0.3496,0.8398,1.64
Terry Taylor,31.666666666666668,12.066666666666668,4.666666666666667,2.6333333333333333,0.6,0.23333333333333336,0.16666666666666666,0.549,0.267,0.6836666666666668,0.39999999999999997
Thaddeus Young,51.75,17.15,6.725,4.1,2.35,0.95,0.3,0.556,0.235,0.54725,1.075
Thanasis Antetokounmpo,44.0,7.449999999999999,2.2,1.475,0.55,0.25,0.175,0.501,0.096,0.41000000000000003,0.5
Theo Maledon,53.333333333333336,21.5,7.966666666666666,2.8666666666666667,3.0666666666666664,0.7666666666666666,0.2333333333333333,0.38166666666666665,0.3076666666666667,0.7963333333333334,1.6000000000000003
Theo Pinson,40.0,8.1,2.4,1.6,1.2,0.2,0.0,0.356,0.355,0.846,0.3
Thomas Bryant,47.5,15.2,7.3500000000000005,4.3,0.7,0.3,0.575,0.5569999999999999,0.30825,0.836,0.6
Tidjane Salaün,60.0,20.7,5.9,4.7,1.2,0.5,0.2,0.33,0.283,0.713,1.0
Tim Hardaway Jr.,67.8,28.619999999999997,14.12,3.22,1.8399999999999999,0.6,0.14,0.41000000000000003,0.3666,0.8099999999999999,0.8
Timothe Luwawu-Cabarrot,55.0,15.65,5.4,1.9000000000000001,1.0,0.44999999999999996,0.1,0.3815,0.3375,0.834,0.55
Tobias Harris,70.4,33.12,16.46,6.34,2.96,0.8800000000000001,0.6799999999999999,0.4918,0.3696,0.8698,1.4
Tomas Satoransky,56.5,19.5,5.65,2.3499999999999996,4.0,0.6,0.15000000000000002,0.4455,0.282,0.8220000000000001,1.25
Tony Bradley,48.5,13.15,5.05,4.55,0.7,0.30000000000000004,0.6499999999999999,0.625,0.0,0.673,0.7
Tony Snell,50.0,18.3,4.4,2.15,0.9,0.3,0.2,0.4595,0.46049999999999996,1.0,0.4
Torrey Craig,57.2,18.64,5.88,4.04,1.1,0.5399999999999999,0.54,0.4484,0.36960000000000004,0.7302,0.64
Tosan Evbuomwan,28.0,23.7,9.5,4.3,2.0,0.9,0.4,0.427,0.312,0.753,1.4
Toumani Camara,74.0,28.75,9.4,5.35,1.7000000000000002,1.2,0.55,0.454,0.356,0.74,1.2999999999999998
Trae Young,68.4,35.08,25.96,3.3,10.34,1.06,0.16,0.43360000000000004,0.3546,0.8812,4.26
Trayce Jackson-Davis,65.0,16.1,7.25,5.0,1.45,0.4,0.8500000000000001,0.639,0.0,0.5695,0.7
Tre Jones,59.4,20.119999999999997,7.720000000000001,2.54,4.3,0.78,0.1,0.4932,0.3624,0.8423999999999999,1.0
Tre Mann,56.0,21.53333333333333,9.133333333333335,2.9333333333333336,2.433333333333333,0.8666666666666667,0.16666666666666666,0.41500000000000004,0.34933333333333333,0.7733333333333334,1.2333333333333334
Tremont Waters,26.0,9.1,3.8,0.8,2.4,0.6,0.0,0.405,0.395,0.941,1.0
Trendon Watford,54.25,17.875,8.025,3.65,1.925,0.5,0.35,0.522,0.33875,0.75775,1.225
Trent Forrest,37.75,11.45,2.675,1.525,1.85,0.35,0.1,0.434,0.14425,0.806,0.675
