PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
Roshown McLeod,35.0,26.2,9.6,3.4,1.7,0.7,0.2,0.437,0.091,0.882,1.7
Roy Hibbert,75.2,25.14,11.24,6.76,1.56,0.42000000000000004,1.8199999999999998,0.4744,0.15,0.7236,1.8
Royal Ivey,66.8,13.6,3.7399999999999998,1.28,1.24,0.5,0.1,0.4084,0.343,0.7262000000000001,0.62
Royce O'Neale,74.0,22.0,5.5,4.133333333333334,1.8,0.6666666666666666,0.3333333333333333,0.44366666666666665,0.373,0.7763333333333334,0.8666666666666667
Ruben Boumtje-Boumtje,33.0,7.4,1.2,1.7,0.1,0.1,0.5,0.406,0.0,0.52,0.4
Ruben Patterson,74.4,24.520000000000003,10.2,4.0,1.7399999999999998,1.22,0.42000000000000004,0.5076,0.1406,0.6322,1.6800000000000002
Ruben Wolkowyski,34.0,8.9,2.2,1.4,0.1,0.2,0.5,0.316,0.0,0.735,0.4
Rudy Fernandez,62.25,23.75,8.925,2.4000000000000004,2.225,1.0,0.17500000000000002,0.40325,0.354,0.81675,1.175
Rudy Gay,74.4,36.160000000000004,17.84,5.66,1.94,1.3399999999999999,0.9,0.4546,0.3568,0.7674000000000001,2.2600000000000002
Rudy Gobert,65.0,26.78,9.459999999999999,9.48,1.1199999999999999,0.62,2.06,0.5864,0.0,0.6038,1.5399999999999998
Rui Hachimura,48.0,30.1,13.5,6.1,1.8,0.8,0.2,0.466,0.287,0.829,1.1
Russell Westbrook,78.8,34.339999999999996,20.02,4.84,6.88,1.6,0.32,0.4306,0.2922,0.8119999999999999,3.4799999999999995
Rusty LaRue,33.0,16.4,5.8,1.5,2.2,0.5,0.2,0.395,0.34,0.857,1.3
Ryan Anderson,67.0,23.96,11.6,5.5,0.86,0.58,0.38,0.4242,0.3806,0.8488,0.96
Ryan Arcidiacono,54.333333333333336,17.633333333333333,4.3999999999999995,1.8666666666666665,2.1666666666666665,0.6,0.03333333333333333,0.42366666666666664,0.35133333333333333,0.8056666666666666,0.6333333333333333
Ryan Bowen,62.4,13.419999999999998,2.9,2.2800000000000002,0.54,0.64,0.31999999999999995,0.458,0.2466,0.7046,0.36
Ryan Broekhoff,42.0,10.8,4.0,1.5,0.5,0.1,0.1,0.452,0.409,0.789,0.4
Ryan Gomes,74.8,28.9,11.3,5.14,1.52,0.74,0.18,0.45780000000000004,0.35760000000000003,0.805,1.28
Ryan Hollins,55.0,11.879999999999999,3.9,2.12,0.3,0.22000000000000003,0.52,0.5466,0.0,0.6477999999999999,0.76
Ryan Humphrey,41.5,9.149999999999999,2.4,2.3,0.2,0.25,0.2,0.35,0.0,0.538,0.6
Ryan Kelly,49.0,19.666666666666668,6.2,3.3000000000000003,1.3333333333333333,0.5,0.5333333333333333,0.37633333333333335,0.26966666666666667,0.7773333333333333,0.6666666666666666
Salah Mejri,51.0,11.775,3.5,3.85,0.525,0.325,0.925,0.60075,0.16425,0.5945,0.6
Salim Stoudamire,52.333333333333336,16.266666666666666,7.7,1.2666666666666666,1.0,0.3,0.03333333333333333,0.3973333333333333,0.3606666666666667,0.8723333333333333,0.9333333333333332
Sam Cassell,73.6,33.3,18.18,3.6799999999999997,6.5,1.08,0.18,0.4718,0.3352,0.8634000000000001,2.42
Sam Dekker,65.66666666666667,15.766666666666666,5.6000000000000005,3.0666666666666664,0.8333333333333334,0.5333333333333333,0.16666666666666666,0.47866666666666663,0.26466666666666666,0.6096666666666667,0.5
Sam Mitchell,78.0,10.9,3.4,1.3,0.6499999999999999,0.25,0.1,0.42,0.2475,0.7515000000000001,0.4
Sam Perkins,64.0,15.6,3.8,2.6,0.6,0.5,0.3,0.381,0.345,0.842,0.3
Sam Young,62.25,14.95,5.2,2.225,0.7,0.525,0.225,0.41725,0.2845,0.7025,0.775
Samaki Walker,57.5,17.75,4.9,4.975,0.65,0.3,0.775,0.449,0.08325,0.652,0.8
Samardo Samuels,45.5,17.15,6.6,3.8,0.45,0.4,0.45,0.4555,0.0,0.6595,1.2
Samuel Dalembert,67.2,22.919999999999998,7.140000000000001,6.840000000000001,0.42000000000000004,0.48,1.7399999999999998,0.5154,0.0,0.617,1.3199999999999998
Sarunas Jasikevicius,69.0,18.1,6.699999999999999,1.55,2.85,0.45,0.05,0.397,0.351,0.9075,1.45
Sasha Kaun,25.0,3.8,0.9,1.0,0.1,0.2,0.2,0.529,0.0,0.455,0.3
Sasha Pavlovic,63.0,17.84,6.1,1.9,1.06,0.54,0.16,0.4112,0.3448,0.7194,0.9800000000000001
Sasha Vujacic,68.4,15.2,5.14,1.8,1.3,0.6,0.06000000000000001,0.3722,0.3572,0.8932,0.5
Scot Pollard,58.0,17.6,4.6,4.92,0.44000000000000006,0.62,0.78,0.4726,0.0,0.6582,0.7
Scott Padgett,61.6,12.34,4.42,2.7399999999999998,0.7,0.4,0.2,0.43220000000000003,0.4312,0.7434000000000001,0.62
Scott Williams,54.75,15.549999999999999,4.9,4.125,0.375,0.5,0.5,0.44125,0.22925,0.742,0.6
Scottie Pippen,53.25,28.325,9.65,4.425,4.3,1.4000000000000001,0.475,0.42125,0.3015,0.74025,2.275
Sean Elliott,52.0,23.6,7.9,3.3,1.6,0.4,0.5,0.434,0.426,0.714,1.0
Sean Kilpatrick,51.0,19.099999999999998,10.166666666666666,2.5,1.3333333333333333,0.43333333333333335,0.10000000000000002,0.41500000000000004,0.334,0.876,1.2
Sean Lampley,35.0,13.9,4.8,2.4,0.9,0.2,0.1,0.434,0.0,0.695,0.7
Sean Marks,30.4,11.319999999999999,3.3200000000000003,2.46,0.26,0.16,0.44000000000000006,0.4298,0.04,0.6612,0.6
Sean May,29.75,15.675,6.825,4.05,0.95,0.425,0.4,0.4415,0.41675,0.7225,1.15
Sean Rooks,67.0,15.2,3.8000000000000003,2.65,0.7,0.35,0.475,0.40625,0.125,0.7935,0.625
Sean Singletary,37.0,8.2,2.4,0.9,0.8,0.3,0.0,0.365,0.4,0.857,0.6
Sean Williams,42.0,13.333333333333334,3.533333333333333,3.033333333333333,0.3,0.3333333333333333,1.1333333333333333,0.4613333333333333,0.0,0.5866666666666667,0.8666666666666667
Sebastian Telfair,69.8,24.8,8.3,1.7399999999999998,4.04,0.82,0.14,0.3884,0.3028,0.7824,1.72
Sekou Doumbouya,38.0,19.8,6.4,3.1,0.5,0.5,0.2,0.39,0.286,0.674,0.9
Semaj Christon,64.0,15.2,2.9,1.4,2.0,0.4,0.1,0.345,0.19,0.548,0.7
