Name,Year,Height Without Shoes,Wingspan,Standing Reach,G,PTS,TRB,AST,2P%,3P%,FT%,Pos,GP
Max Christie,2022-23,76.25,80.75,102.5,35,9.3,3.5,1.5,0.429,0.317,0.824,SG,145
Josh Christopher,2021-22,75.25,81.25,101.0,15,14.3,4.7,1.4,0.496,0.305,0.8,SG,138
Sandro Mamukelashvili,2021-22,81.0,85.25,106.5,115,9.6,5.7,1.6,0.521,0.339,0.663,C,61
Moses Moody,2021-22,76.5,84.75,105.0,32,16.8,5.8,1.6,0.478,0.358,0.812,SG,227
Naji Marshall,2020-21,77.75,84.75,102.5,99,12.9,5.9,3.0,0.524,0.289,0.725,SF,222
Lamar Stevens,2020-21,77.75,81.0,101.0,135,16.3,6.5,1.9,0.468,0.276,0.738,SF-PF,125
Luguentz Dort,2019-20,74.75,80.5,99.5,34,16.1,4.3,2.3,0.472,0.307,0.7,PG,309
Cameron Johnson,2019-20,79.0,82.0,103.0,118,10.1,5.4,0.7,0.465,0.333,0.611,SG,222
