Year,Player,Pos,Body Fat %,Hand Length,Hand Width (inches),Height Without Shoes,Height With Shoes,Standing Reach,Weight (lbs),Wingspan
2024-25,Oso Ighodaro,C,-%,9,10,6' 9.50'',,8' 8.50'',222,6' 11.00''
2024-25,Harrison Ingram,SF,-%,9,10.25,6' 5.25'',,8' 6.50'',233.6,7' 0.25''
2024-25,Bronny James,SG,-%,8.5,9.5,6' 1.50'',,8' 2.50'',210.4,6' 7.25''
2024-25,Keshad Johnson,PF,-%,9.25,10.75,6' 6.25'',,8' 7.00'',224,6' 10.25''
2024-25,AJ Johnson,SG,-%,8.5,8.5,6' 4.25'',,8' 6.00'',167,6' 8.50''
2024-25,Dillon Jones,SF,-%,9,9.25,6' 4.50'',,8' 4.50'',236.8,6' 11.00''
2024-25,David Jones,SF,-%,8.5,9.5,6' 3.50'',,8' 4.00'',211.2,6' 6.75''
2024-25,Isaac Jones,C,-%,9.25,10.25,6' 7.75'',,9' 0.00'',235,7' 3.00''
2024-25,Alex Karaban,PF,-%,8.75,9.25,6' 6.50'',,8' 10.50'',219.2,6' 11.00''
2024-25,Bobi Klintman,PF,-%,8.75,10,6' 8.75'',,8' 10.50'',212.2,6' 11.00''
2024-25,Dalton Knecht,SF,-%,8.5,9.5,6' 5.25'',,8' 7.50'',212.2,6' 9.00''
2024-25,Tyler Kolek,PG,-%,8.25,9.5,6' 1.25'',,7' 11.00'',196.6,6' 2.75''
2024-25,Pelle Larsson,SG,-%,8.75,10.25,6' 5.25'',,8' 6.00'',212.4,6' 7.50''
2024-25,Jared McCain,SG,-%,8.25,9.5,6' 2.00'',,8' 2.00'',203.2,6' 3.50''
2024-25,Kevin McCullar Jr.,SF,-%,8.75,9.5,6' 5.25'',,8' 7.00'',205.8,6' 9.00''
2024-25,Yves Missi,C,-%,9.5,10,6' 10.75'',,9' 1.50'',229.4,7' 2.00''
2024-25,Ajay Mitchell,PG,-%,8.5,8.5,6' 3.25'',,8' 5.00'',197,6' 6.25''
2024-25,Jonathan Mogbo,PF,-%,8.75,8.75,6' 6.25'',,9' 0.50'',217.2,7' 2.00''
2024-25,Tristen Newton,PG,-%,8.5,9,6' 3.25'',,8' 4.00'',191.8,6' 6.75''
2024-25,Juan Nunez,PG,-%,8.5,9.5,6' 4'',,8' 6'',205.6,6' 6.5''
2024-25,Quinten Post,C,-%,9.25,10,7' 0.00'',,9' 4.00'',244.4,7' 2.50''
2024-25,Antonio Reeves,SG,-%,9,10,6' 4.50'',,8' 4.50'',186.6,6' 8.25''
2024-25,Zaccharie Risacher,SF,-%,8.5,8.75,6' 8.5'',,8' 11'',194.6,6' 9.5''
2024-25,Jaxson Robinson,SG,-%,9,9.5,6' 4.75'',,8' 7.00'',188.6,6' 11.25''
2024-25,Tidjane Salaun,PF,-%,8.5,9.75,6' 8.75'',,9' 2'',217.4,7' 1.5''
2024-25,Hunter Sallis,SG,-%,8,9.5,6' 3.50'',,8' 4.50'',179.4,6' 9.75''
2024-25,Payton Sandfort,SF,-%,8.5,9,6' 6.25'',,8' 8.00'',212,6' 8.00''
2024-25,Alexandre Sarr,C,-%,9,10,6' 11.75'',,9' 2.00'',224.2,7' 4.25''
2024-25,Baylor Scheierman,SF,-%,9.25,9.75,6' 6.25'',,8' 6.50'',201.6,6' 8.25''
2024-25,Mark Sears,PG,-%,8,8.5,5' 10.25'',,7' 8.00'',192.4,6' 2.00''
2024-25,Terrence Shannon Jr.,SF,-%,8.75,8.5,6' 5.75'',,8' 4.00'',219.4,6' 8.75''
2024-25,Jamal Shead,PG,-%,8.25,8.75,6' 0.25'',,8' 0.00'',200.8,6' 3.00''
2024-25,Reed Sheppard,PG,-%,7.75,9,6' 1.75'',,7' 9.50'',181.6,6' 3.25''
2024-25,KJ Simpson,PG,-%,8.25,9.25,6' 0.25'',,7' 9.50'',187,6' 4.50''
2024-25,Tyler Smith,PF,-%,8.5,9,6' 9.00'',,8' 9.00'',223.8,7' 1.00''
2024-25,Cam Spencer,SG,-%,8.5,9.75,6' 3.00'',,8' 2.50'',201.8,6' 5.00''
2024-25,Nae'Qwan Tomlin,PF,-%,9,10,6' 8.25'',,9' 1.00'',205,7' 2.50''
2024-25,Nikola Topic,PG,-%,8,9,6' 5.75'',,8' 6'',203,6' 5.5''
2024-25,JT Toppin,PF,-%,9.25,9.25,6' 7.00'',,8' 10.00'',221,7' 0.50''
2024-25,Jaylon Tyson,SF,-%,8.25,9.5,6' 5.50'',,8' 6.50'',218.2,6' 8.00''
2024-25,Ja'Kobe Walter,SG,-%,8.75,9.75,6' 4.25'',,8' 6.50'',197.6,6' 10.00''
2024-25,Kel'el Ware,C,-%,9.5,10.25,6' 11.75'',,9' 4.50'',230,7' 4.50''
2024-25,Jamir Watkins,SF,-%,9,9.5,6' 5.00'',,8' 8.00'',211.6,6' 10.75''
2024-25,Jaylen Wells,SF,-%,8.25,9.25,6' 6.50'',,8' 7.50'',206.2,6' 7.25''
2024-25,Cody Williams,SF,-%,8.25,9,6' 6.50'',,8' 7.00'',178.4,7' 1.00''
2023-24,Trey Alexander,SG,-%,8.5,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00''
2023-24,Amari Bailey,SG,-%,8,9.25,6' 3.25'',,8' 7.50'',190.8,6' 7.00''
2023-24,Emoni Bates,SF,-%,8,8.25,6' 8.25'',,8' 9.00'',179.2,6' 9.00''
2023-24,Reece Beekman,PG,-%,8.5,8.25,6' 1.50'',,8' 4.50'',190.6,6' 7.00''
2023-24,Anthony Black,PG,-%,8.25,9.5,6' 5.75'',,8' 6.50'',210,6' 7.50''
2023-24,Adem Bona,C,-%,9.25,10,6' 8.25'',,9' 2.50'',243.4,
2023-24,Kobe Brown,PF,-%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75''
2023-24,Kobe Bufkin,SG,-%,8,9.25,6' 4.25'',,8' 6.50'',186.8,6' 7.75''
2023-24,Toumani Camara,PF,-%,9,10,6' 7.00'',,8' 11.00'',220.4,7' 0.50''
2023-24,Sidy Cissoko,SF,-%,9.25,10,6' 5.50'',,8' 8.00'',223.8,6' 9.75''
2023-24,Jaylen Clark,SG,-%,8.5,9,6' 4.00'',,8' 5.50'',204.2,6' 9.00''
2023-24,Noah Clowney,PF,-%,-,-,,,,-,
2023-24,Bilal Coulibaly,SG-SF,-%,-,-,,,,-,
2023-24,Ricky Council IV,SF,-%,7.75,8.5,6' 5.00'',,8' 7.00'',208,6' 9.00''
2023-24,Gradey Dick,SG,-%,8.25,9,6' 6.25'',,8' 5.00'',204,6' 8.75''
2023-24,Nikola Djurisic,SF,-%,8.25,9.5,6' 7.00'',,8' 6.00'',217.6,6' 8.25''
2023-24,Zach Edey,C,-%,9.75,11,7' 3.25'',,9' 7.50'',306.4,7' 10.50''
2023-24,Adam Flagler,PG,-%,8,9.25,6' 1.00'',,8' 1.00'',191.8,6' 4.50''
2023-24,Keyonte George,SG,-%,-,-,,,,-,
2023-24,Mouhamed Gueye,C,-%,9,10,6' 10.25'',,9' 2.50'',212.6,7' 3.25''
2023-24,Jordan Hawkins,SG,-%,8.25,8.75,6' 4.25'',,8' 5.50'',186,6' 6.75''
2023-24,Coleman Hawkins,PF,-%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25''
2023-24,Scoot Henderson,PG,-%,-,-,,,,-,
2023-24,Taylor Hendricks,PF,-%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50''
2023-24,DaRon Holmes II,C,-%,8.5,9.5,6' 9.00'',,9' 1.00'',220.8,7' 0.50''
2023-24,Jalen Hood-Schifino,PG,-%,9,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25''
2023-24,Jett Howard,SF,-%,-,-,,,,-,
2023-24,GG Jackson,PF,-%,8.5,10,6' 8.25'',,8' 10.00'',214.4,6' 11.50''
2023-24,Andre Jackson Jr.,SF,-%,8.25,9.5,6' 5.50'',,8' 7.00'',198.4,6' 9.75''
2023-24,Trayce Jackson-Davis,C,-%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00''
2023-24,Jaime Jaquez Jr.,SF,-%,8.5,9.5,6' 6.00'',,8' 3.50'',226.4,6' 9.50''
2023-24,Keyontae Johnson,SF,-%,9,9,6' 4.00'',,8' 7.00'',238.6,7' 0.00''
2023-24,Colby Jones,SG,-%,8.25,8.5,6' 4.50'',,8' 7.00'',199.2,6' 8.00''
2023-24,Ryan Kalkbrenner,C,-%,9.25,11,7' 0.75'',,9' 4.50'',251.8,7' 5.00''
2023-24,Arthur Kaluma,PF,-%,8.5,10,6' 6.25'',,8' 7.50'',221.8,7' 0.50''
2023-24,Mojave King,SG,-%,8.75,9.5,6' 3.75'',,8' 5.00'',200.6,6' 8.00''
2023-24,Bobi Klintman,PF,-%,-,-,,,,-,
2023-24,Maxwell Lewis,SG,-%,8.75,9.5,6' 6.25'',,8' 8.50'',207.2,7' 0.00''
2023-24,Dereck Lively Jr.,C,-%,-,-,,,,-,
2023-24,Chris Livingston,SF,-%,8.5,9,6' 6.00'',,8' 8.50'',219.2,6' 11.25''
2023-24,Seth Lundy,SF,-%,8.5,9,6' 4.00'',,8' 8.00'',214.4,6' 10.25''
2023-24,Kevin McCullar,SF,-%,-,-,,,,-,
2023-24,Mike Miles Jr.,PG,-%,8,8.25,6' 0.75'',,8' 0.00'',205,6' 0.50''
2023-24,Leonard Miller,PF,-%,9.5,10.5,6' 9.25'',,8' 10.50'',212.8,7' 2.00''
2023-24,Brandon Miller,SF,-%,-,-,,,,-,
2023-24,Jordan Miller,SF,-%,8.5,9.25,6' 4.50'',,8' 7.50'',191.6,6' 11.75''
2023-24,Judah Mintz,PG,-%,8.25,9.25,6' 3.00'',,8' 2.00'',176.4,6' 3.50''
2023-24,Dillon Mitchell,PF,-%,8.25,9.5,6' 6.75'',,8' 9.00'',193,6' 10.00''
2023-24,Omari Moore,SG,-%,9,10.25,6' 5.25'',,8' 7.5'',188.6,6' 9.75''
2023-24,Kris Murray,PF,-%,8.5,9,6' 7.75'',,8' 10.00'',212.8,6' 11.75''
2023-24,Grant Nelson,PF,-%,9,9.5,6' 10.00'',,8' 10.50'',223.4,7' 0.00''
2023-24,James Nnaji,C,-%,-,-,,,,-,
2023-24,Julian Phillips,SF,-%,8.5,9,6' 6.75'',,8' 6.00'',196.6,6' 11.50''
2023-24,Jalen Pickett,PG,-%,8.5,7.5,6' 2.00'',,8' 2.50'',197.8,6' 7.25''
2023-24,Brandin Podziemski,SG,-%,8.25,10,6' 3.75'',,8' 0.50'',203.8,6' 5.50''
2023-24,Olivier-Maxence Prosper,PF,-%,8.25,10,6' 6.75'',,8' 8.00'',212.4,7' 1.00''
2023-24,Rayan Rupert,SF,-%,8.5,9.5,6' 6.00'',,8' 10.00'',193.2,7' 2.00''
2023-24,Adama Sanogo,C,-%,9.75,10,6' 7.25'',,9' 0.50'',257.8,7' 2.75''
2023-24,Marcus Sasser,PG,-%,8.75,9.5,6' 1.25'',,8' 3.50'',195.6,6' 7.00''
2023-24,Brice Sensabaugh,SF,-%,-,-,,,,-,
2023-24,Terrence Shannon Jr.,SF,-%,8.25,8,6' 5.50'',,8' 6.00'',220,6' 8.00''
2023-24,Ben Sheppard,SG,-%,8.5,9.5,6' 5.25'',,8' 4.00'',194.6,6' 7.75''
2023-24,Jalen Slawson,PF,-%,9,9,6' 6.50'',,8' 10.00'',221.6,6' 11.75''
2023-24,Terquavion Smith,SG,-%,8.5,8,6' 2.50'',,8' 2.00'',163.2,6' 6.75''
2023-24,Nick Smith Jr.,SG,-%,-,-,,,,-,
2023-24,Julian Strawther,SF,-%,8.25,8.25,6' 6.00'',,8' 9.00'',208.8,6' 9.25''
2023-24,Amen Thompson,SG,-%,8.5,8.5,6' 5.75'',,8' 7.50'',214.2,7' 0.00''
2023-24,Ausar Thompson,SG,-%,8.75,9.25,6' 5.75'',,8' 8.00'',218.2,7' 0.00''
2023-24,Drew Timme,C,-%,9,10,6' 8.75'',,9' 0.50'',243.2,7' 1.75''
2023-24,Nae'Qwan Tomlin,PF,-%,-,-,,,,-,
2023-24,Oscar Tshiebwe,C,-%,9.75,10.25,6' 7.25'',,9' 0.00'',253.6,7' 3.50''
2023-24,Azuolas Tubelis,PF,-%,9,10.5,6' 8.75'',,9' 0.00'',234.8,6' 11.00''
2023-24,Tristan Vukcevic,C,-%,9,10.25,6' 11.25'',,9' 3.00'',223.4,7' 2.50''
2023-24,Jarace Walker,PF,-%,9,10,6' 6.50'',,8' 8.50'',248.6,7' 2.50''
2023-24,Cason Wallace,PG,-%,8.5,9.25,6' 2.50'',,8' 5.00'',195.2,6' 8.50''
2023-24,Jordan Walsh,SF,-%,8.75,8.5,6' 5.75'',,8' 11.00'',204,7' 1.75''
2023-24,Victor Wembanyama,C,-%,-,-,,,,-,
2023-24,Dariq Whitehead,SG,-%,8.5,10,6' 5.75'',,8' 7.50'',217.2,6' 10.25''
2023-24,Cam Whitmore,SF,-%,8,8.25,6' 5.75'',,8' 7.50'',235,6' 8.50''
2023-24,Jalen Wilson,SF,-%,8.25,9,6' 5.50'',,8' 3.50'',230.2,6' 8.00''
2023-24,Isaiah Wong,SG,-%,8.25,9.5,6' 2.50'',,8' 1.50'',178.4,6' 6.75'
2022-23,Ochai Agbaji,SG,5.40%,8.75,9.5,6' 4.50'',6' 5.75'',8' 8.00'',216.8,6' 10.25''
2022-23,Patrick Baldwin Jr.,SF,8.90%,8.75,9.5,6' 9.25'',6' 10.25'',9' 2.50'',230.8,7' 1.75''
2022-23,Paolo Banchero,PF,-%,-,-,,,,-,
2022-23,Dominick Barlow,PF,5.90%,9,10.5,6' 8.75'',6' 9.75'',9' 0.50'',221,7' 3.00''
2022-23,MarJon Beauchamp,SG,5.30%,9,9,6' 5.25'',6' 6.50'',8' 10.00'',196.6,7' 0.75''
2022-23,Hugo Besson,SG,8.80%,7.5,8.5,6' 4.50'',6' 5.75'',8' 6.00'',180.4,6' 5.50''
2022-23,Malaki Branham,SG,6.10%,8.5,9.75,6' 4.00'',6' 5.50'',8' 6.50'',194.8,6' 10.00''
2022-23,Christian Braun,SG,6.20%,8,8.5,6' 5.50'',6' 7.00'',8' 3.50'',209.2,6' 6.50''
2022-23,Kendall Brown,SF,4.90%,9,9,6' 6.25'',6' 7.50'',8' 7.00'',201.2,6' 11.00''
2022-23,John Butler Jr.,PF,4.70%,8.5,8.75,6' 11.75'',7' 0.75'',9' 4.00'',174.4,7' 2.25''
2022-23,Julian Champagnie,SF,7.10%,8.75,9.25,6' 6.25'',6' 7.75'',8' 11.00'',212.4,6' 10.00''
2022-23,Kennedy Chandler,PG,4.40%,8.5,9.5,5' 11.50'',6' 0.50'',8' 1.00'',172.2,6' 5.25''
2022-23,Max Christie,SG,4.80%,8,8.5,6' 4.25'',6' 5.75'',8' 6.50'',189.2,6' 8.75''
2022-23,Kofi Cockburn,C,8.20%,9.75,10.25,6' 11.00'',7' 0.00'',9' 2.50'',293,7' 4.25''
2022-23,Dyson Daniels,SG,4.90%,8.5,9.75,6' 6.00'',6' 7.50'',8' 9.00'',195.2,6' 10.50''
2022-23,Johnny Davis,PG,6.70%,8.5,10.25,6' 4.25'',6' 5.75'',8' 7.50'',196.4,6' 8.50''
2022-23,JD Davison,PG,7.80%,8.5,9.5,6' 0.50'',6' 2.50'',8' 3.50'',191.8,6' 6.50''
2022-23,Darius Days,SF-PF,-%,-,-,,,,-,
2022-23,Moussa Diabate,C,2.70%,8.5,10.5,6' 9.25'',6' 10.25'',9' 1.50'',216.6,7' 2.50''
2022-23,Ousmane Dieng,SF,-%,-,-,,,,-,
2022-23,Khalifa Diop,C,-%,-,-,,,,-,
2022-23,Jalen Duren,C,-%,-,-,,,,-,
2022-23,Tari Eason,PF,5.90%,9.25,11,6' 6.75'',6' 8.00'',8' 11.50'',217.4,7' 2.00''
2022-23,Keon Ellis,SG,3.80%,8,9.25,6' 3.50'',6' 4.75'',8' 6.00'',167.4,6' 8.50''
2022-23,Michael Foster Jr.,C,6.20%,8.75,10,6' 7.75'',6' 9.25'',9' 1.50'',236.6,7' 0.25''
2022-23,Collin Gillespie,PG,8.60%,8.25,9,6' 1.50'',6' 2.75'',8' 2.00'',195.8,6' 4.00''
2022-23,AJ Griffin,SF,-%,-,-,,,,-,
2022-23,Jaden Hardy,SG,-%,-,-,,,,-,
2022-23,Ron Harper Jr.,SF,14.30%,9.5,10,6' 4.00'',6' 5.50'',8' 9.50'',240.4,7' 1.25''
2022-23,Chet Holmgren,PF,-%,-,-,,,,-,
2022-23,Harrison Ingram,SF,8.30%,9,10,6' 5.25'',6' 7.00'',8' 7.50'',232.8,7' 0.25''
2022-23,Jaden Ivey,PG,-%,-,-,,,,-,
2022-23,Trayce Jackson-Davis,C,-%,-,-,,,,-,
2022-23,Nikola Jovic,SF,7.40%,8.75,9.75,6' 9.50'',6' 11.00'',9' 0.50'',222.6,7' 0.25''
2022-23,Johnny Juzang,SG,7.50%,8.5,9.5,6' 5.25'',6' 6.50'',8' 6.50'',208.6,6' 11.00''
2022-23,Ismael Kamagate,PF,-%,-,-,,,,-,
2022-23,Trevor Keels,SG,13.50%,8.25,9,6' 3.25'',6' 4.75'',8' 5.00'',223.8,6' 7.25''
2022-23,Walker Kessler,C,14.70%,8.5,8.5,7' 0.25'',7' 1.00'',9' 5.00'',256,7' 4.25''
2022-23,Christian Koloko,C,5.70%,9,10.75,6' 10.75'',7' 0.00'',9' 5.00'',221,7' 5.25''
2022-23,Jake LaRavia,PF,9.00%,8.5,10.25,6' 6.75'',6' 8.00'',8' 8.00'',227.2,6' 9.50''
2022-23,Justin Lewis,PF,7.30%,9,10.5,6' 6.25'',6' 7.50'',8' 9.50'',235.4,7' 2.50''
2022-23,E.J. Liddell,PF,12.20%,8.25,9.25,6' 5.50'',6' 7.00'',8' 7.50'',243,6' 11.75''
2022-23,Kenneth Lofton Jr.,PF-C,-%,-,-,,,,-,
2022-23,Tyrese Martin,SG-SF,-%,-,-,,,,-,
2022-23,Bennedict Mathurin,SG,5.70%,8.5,9.75,6' 4.50'',6' 6.00'',8' 8.00'',204.6,6' 9.00''
2022-23,Matthew Mayer,SF,11.10%,9,10.25,6' 8.00'',6' 9.25'',8' 9.00'',216.4,6' 10.50''
2022-23,Bryce McGowens,SG,5.40%,8.75,9.5,6' 5.25'',6' 6.50'',8' 7.50'',181.2,6' 8.75''
2022-23,Leonard Miller,SF,5.70%,9.25,10.5,6' 8.50'',6' 10.00'',8' 10.50'',211,7' 2.00''
2022-23,Josh Minnott,PF,-%,-,-,,,,-,
2022-23,Aminu Mohammed,SG-SF,5.10%,8.75,9.5,6' 3.50'',6' 5.00'',8' 8.00'',212.8,6' 11.00''
2022-23,Iverson Molinar,PG,4.80%,8.5,9.5,6' 2.25'',6' 3.25'',8' 5.00'',183.2,6' 8.00''
2022-23,Jean Montero,PG,7.40%,8,8.75,6' 1.00'',6' 2.25'',8' 2.50'',171.8,6' 5.25''
2022-23,Wendell Moore,SG,7.50%,8.75,10.25,6' 4.25'',6' 5.50'',8' 5.00'',217.2,7' 0.50''
2022-23,Keegan Murray,PF,-%,-,-,,,,-,
2022-23,Andrew Nembhard,PG,4.40%,8,9.5,6' 3.00'',6' 4.50'',8' 3.00'',195.6,6' 5.75''
2022-23,Scotty Pippen Jr.,PG,5.30%,7.75,9,6' 0.00'',6' 1.50'',7' 11.50'',180,6' 5.75''
2022-23,Gabriele Procida,SG-SF,3.80%,8,9.25,6' 5.75'',6' 7.75'',8' 10.00'',192.8,6' 8.00''
2022-23,Jared Rhoden,SG-SF,-%,-,-,,,,-,
2022-23,Orlando Robinson,C,9.50%,8.75,10,6' 9.75'',6' 11.00'',9' 3.00'',244.4,7' 4.00''
2022-23,David Roddy,PF,11.60%,8.75,10,6' 4.50'',6' 6.00'',8' 9.00'',260.8,6' 11.50''
2022-23,Ryan Rollins,SG,5.00%,8,8.5,6' 2.00'',6' 3.25'',8' 4.50'',179.2,6' 9.75''
2022-23,Marcus Sasser,PG,-%,-,-,,,,-,
2022-23,Dereon Seabron,SG,4.00%,8.5,9.5,6' 4.75'',6' 5.75'',8' 7.50'',182.4,6' 8.75''
2022-23,Shaedon Sharpe,SG,4.80%,9,9.25,6' 4.25'',6' 5.25'',8' 7.50'',198,6' 11.50''
2022-23,Jabari Smith,PF,-%,-,-,,,,-,
2022-23,Terquavion Smith,SG,3.80%,8.5,8,6' 2.25'',6' 3.75'',8' 2.00'',165.2,6' 6.50''
2022-23,Jeremy Sochan,PF,-%,-,-,,,,-,
2022-23,Matteo Spagnolo,PG,8.60%,8.25,10,6' 4.00'',6' 5.50'',8' 6.00'',196.2,6' 8.00''
2022-23,Julian Strawther,SF,7.90%,8.25,8.5,6' 5.75'',6' 7.00'',8' 8.50'',207.6,6' 9.50''
2022-23,Dalen Terry,SG,5.40%,8.5,9,6' 6.00'',6' 7.25'',8' 10.00'',195.2,7' 0.75''
2022-23,Drew Timme,C,15.70%,9,10,6' 8.25'',6' 9.25'',8' 11.50'',231.6,7' 2.00''
2022-23,Jabari Walker,PF,12.10%,8.75,9.75,6' 6.75'',6' 8.00'',8' 9.00'',213.8,6' 10.75''
2022-23,TyTy Washington Jr.,SG,12.00%,8.5,9.25,6' 2.25'',6' 3.75'',8' 3.50'',196.4,6' 8.00''
2022-23,Peyton Watson,SF,5.20%,8.5,9.5,6' 6.75'',6' 8.00'',8' 11.50'',203.4,7' 0.50''
2022-23,Blake Wesley,SG,5.60%,8.25,9,6' 3.00'',6' 4.25'',8' 7.00'',187.2,6' 9.25''
2022-23,Trevion Williams,C,10.80%,9,10.25,6' 7.25'',6' 8.75'',9' 0.50'',264.6,7' 2.75''
2022-23,Mark Williams,C,5.40%,9,9.75,7' 0.00'',7' 2.00'',9' 9.00'',242.4,7' 6.50''
2022-23,Jalen Williams,SG,8.90%,8.5,9.5,6' 4.50'',6' 5.75'',8' 9.50'',209.2,7' 2.25''
2022-23,Jaylin Williams,C,8.00%,8.5,10.5,6' 8.75'',6' 10.00'',9' 0.50'',236.6,7' 1.00''
2022-23,Alondes Williams,SG,7.20%,8.5,9.25,6' 3.75'',6' 5.00'',8' 6.00'',209,6' 7.00''
2022-23,Bryson Williams,PF-C,-%,-,-,,,,-,
2022-23,Jalen Wilson,SF-PF,-%,-,-,,,,-,
2022-23,Fanbo Zeng,SF-PF,-%,-,-,,,,-,
2021-22,Max Abmas,PG,5.50%,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75''
2021-22,Ochai Agbaji,SG,4.15%,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0''
2021-22,Marcus Bagley,SF,7.50%,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0''
2021-22,Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75''
2021-22,Charles Bassey,C,5.90%,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0''
2021-22,Brandon Boston Jr.,SF,6.00%,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75''
2021-22,James Bouknight,SG,5.50%,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25''
2021-22,Greg Brown III,PF,5.50%,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25''
2021-22,Jared Butler,PG,5.10%,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0''
2021-22,Justin Champagnie,PF,6.30%,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5''
2021-22,Julian Champagnie,SF,8.00%,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0''
2021-22,Josh Christopher,SG,5.80%,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25''
2021-22,Sharife Cooper,PG,-%,-,-,,,,-,
2021-22,Cade Cunningham,PG,-%,-,-,,,,-,
2021-22,Ayo Dosunmu,SG,4.90%,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25''
2021-22,David Duke Jr.,SG,5.90%,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75''
2021-22,Kessler Edwards,PF,4.30%,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25''
2021-22,Luka Garza,C,11.70%,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5''
2021-22,RaiQuan Gray,PF,17.30%,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75''
2021-22,Jalen Green,SG,-%,-,-,,,,-,
2021-22,Quentin Grimes,SG,6.60%,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0''
2021-22,Sam Hauser,SF,7.90%,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25''
2021-22,Aaron Henry,SF,5.60%,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75''
2021-22,Ariel Hukporti,C,8.10%,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5''
2021-22,Matt Hurt,PF,15.20%,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5''
2021-22,Nah'Shon Hyland,SG,5.80%,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25''
2021-22,Isaiah Jackson,C,-%,-,-,,,,-,
2021-22,David Johnson,SG,7.50%,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5''
2021-22,Jalen Johnson,PF,4.50%,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25''
2021-22,Keon Johnson,SG,4.40%,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25''
2021-22,Herbert Jones,SF,5.80%,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25''
2021-22,Kai Jones,PF,4.70%,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75''
2021-22,Carlik Jones,PG,4.50%,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0''
2021-22,Johnny Juzang,SG,8.00%,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5''
2021-22,Corey Kispert,SF,6.80%,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0''
2021-22,Jonathan Kuminga,SF,-%,-,-,,,,-,
2021-22,AJ Lawson,SG-SF,4.40%,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75''
2021-22,Scottie Lewis,SF,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0''
2021-22,Isaiah Livers,SF,9.40%,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25''
2021-22,Makur Maker,C,14.50%,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75''
2021-22,Sandro Mamukelashvili,C,7.80%,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25''
2021-22,Tre Mann,PG,4.10%,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0''
2021-22,Matthew Mayer,PF,-%,-,-,,,,-,
2021-22,Miles McBride,PG,6.00%,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75''
2021-22,Davion Mitchell,PG,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25''
2021-22,Evan Mobley,PF,-%,-,-,,,,-,
2021-22,Isaiah Mobley,PF,12.90%,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0''
2021-22,Moses Moody,SG,6.80%,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75''
