G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
34,26,22.4,2.3,5.4,0.429,0.5,1.7,0.305,1.8,3.7,0.488,0.478,1.1,1.6,0.722,1.1,3.1,4.2,0.7,0.4,0.4,0.9,1.7,6.3,Chris Livingston
122,96,26,3.5,8.4,0.412,1.9,5.1,0.368,1.6,3.3,0.48,0.523,1.7,2.1,0.814,0.9,3.7,4.6,0.7,0.7,0.5,1.1,2.1,10.5,Seth Lundy
138,108,28.6,3.8,8.5,0.441,0.8,2.7,0.309,2.9,5.8,0.504,0.491,2.6,3.5,0.756,1.1,4.3,5.4,2.4,1.6,0.5,1.9,2.6,11,Kevin Mccullar
60,1,3.8,0.2,0.7,0.256,0.1,0.4,0.286,0.1,0.4,0.227,0.326,0.1,0.2,0.462,0.5,0.3,0.8,0.2,0.2,0.1,0.2,0.3,0.6,Brandon Miller
118,107,27.2,3.6,9.5,0.38,1.4,4,0.335,2.2,5.4,0.413,0.451,2.5,3.2,0.78,0.5,2.4,3,1.6,1,0.3,1.9,2.4,11,Jordan Miller
64,63,33.7,5.8,13.1,0.44,0.7,2.4,0.291,5.1,10.7,0.473,0.467,5.3,7,0.759,0.4,2.3,2.7,4.5,2,0.1,2.7,2.1,17.5,Judah Mintz
107,106,24.6,3.4,5.7,0.607,0.1,0.4,0.238,3.3,5.3,0.634,0.615,0.9,1.9,0.485,1.7,4.3,6,1.2,1,0.6,1,1.5,7.9,Dillon Mitchell
117,105,30.2,4.2,9.4,0.454,1,2.9,0.34,3.3,6.4,0.506,0.507,1.7,2.5,0.689,0.9,3.5,4.4,3.7,1,0.8,2.6,1.6,11.2,Omari Moore
77,30,21.8,4.5,9.5,0.473,1.4,4.1,0.348,3.1,5.4,0.566,0.547,1.8,2.5,0.699,1.8,3.2,5,1.2,0.8,0.9,0.9,2,12.1,Kris Murray
160,127,25.8,4.3,8.6,0.507,0.8,2.7,0.287,3.6,5.9,0.606,0.552,2.5,3.4,0.733,1.7,4.7,6.4,1.4,0.5,1.4,1.8,2.6,11.9,Grant Nelson
32,25,24.1,2.5,6,0.411,0.3,1.4,0.239,2.1,4.6,0.466,0.44,3,3.7,0.822,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,Julian Phillips
144,142,36.9,5.8,12.8,0.454,1.7,4.8,0.355,4.1,8.1,0.513,0.52,2,2.7,0.742,1,4.4,5.4,5.8,1.2,0.8,2.1,1.9,15.3,Jalen Pickett
48,32,25.4,4.8,10,0.48,1.8,4.1,0.424,3,5.9,0.52,0.568,2.4,3.1,0.77,1.2,4.9,6.1,2.5,1.2,0.3,1.6,1.4,13.7,Brandin Podziemski
90,63,21.4,2.7,5.7,0.478,0.7,2.1,0.316,2,3.5,0.577,0.538,1.9,2.5,0.749,1.1,2.4,3.5,0.7,0.7,0.1,1,1.9,8,Olivier-maxence Prosper
91,87,25,5.9,10.5,0.56,0.2,0.6,0.358,5.6,9.9,0.572,0.57,2,2.8,0.715,2.7,4.6,7.3,1,0.7,1.2,1.9,2.8,13.9,Adama Sanogo
107,93,29.3,4.4,10.9,0.406,2.6,7,0.369,1.9,3.9,0.471,0.524,2.2,2.7,0.824,0.3,2.3,2.7,2.4,1.3,0.1,1.4,1.6,13.6,Marcus Sasser
33,21,24.5,6,12.4,0.48,1.8,4.5,0.405,4.2,7.9,0.523,0.554,2.5,3,0.83,1.3,4.1,5.4,1.2,0.5,0.4,2,2.5,16.3,Brice Sensabaugh
124,91,26,4.4,9.3,0.475,1.6,4.4,0.37,2.8,4.9,0.57,0.563,1.8,2.6,0.696,0.7,3.2,3.9,1.8,1,0.1,1.4,2,12.2,Ben Sheppard
153,119,24,3.5,6.8,0.519,0.7,2.2,0.329,2.8,4.6,0.611,0.573,2.1,2.8,0.754,1.3,4.2,5.5,2.4,1.3,1.2,1.9,2.5,9.9,Jalen Slawson
66,59,32.6,5.9,15.2,0.388,2.8,8,0.352,3.1,7.2,0.429,0.482,2.5,3.5,0.7,0.8,3,3.8,3.1,1.4,0.4,2,2.3,17.1,Terquavion Smith
135,15,13.6,1.8,3.9,0.467,0.1,0.4,0.333,1.7,3.5,0.481,0.483,1,1.3,0.763,0.8,1.8,2.6,0.8,0.3,0.7,1,1.7,4.7,Nick Smith
94,68,23.4,3.8,7.8,0.484,1.5,4,0.384,2.3,3.9,0.586,0.581,1.9,2.5,0.745,0.8,3.8,4.6,0.9,0.6,0.2,1,1.7,10.9,Julian Strawther
134,105,27.2,6.8,11,0.618,0.1,0.6,0.25,6.6,10.4,0.638,0.624,3.5,5.3,0.656,2.2,4.5,6.7,2.4,0.5,0.9,2,2.2,17.2,Drew Timme
107,105,28.8,5.5,9.6,0.573,0,0,0,5.5,9.6,0.574,0.573,3.5,4.9,0.705,4.9,7.4,12.3,1,1.3,1.1,1.8,2.7,14.5,Oscar Tshiebwe
97,89,27.1,6,11.1,0.544,0.3,1.2,0.295,5.7,9.9,0.573,0.56,3.2,4.4,0.714,2.4,5.1,7.5,1.9,1,0.7,2.3,2.4,15.6,Azuolas Tubelis
36,35,27.6,4.4,9.4,0.465,1,2.8,0.347,3.4,6.6,0.515,0.516,1.5,2.2,0.663,2.3,4.5,6.8,1.8,1,1.3,1.5,2.1,11.2,Jarace Walker
